ID,Free Time Activities,Successful_Project,Recognition_Awards,Easy_Tasks,Feedback_Talent,Learn_Improve_Skill,Problem_Solving,Energizing_Tasks,Talents
12,"Writing, Dancing, Photography",Choreographed a dance routine for a school talent show,Featured in a pottery exhibition at a local gallery,Finds knitting stitch patterns intuitive,Used creative problem-solving to overcome writer's block,,Finds photography during golden hour exhilarating,photography,sculpting
1,"Painting,cooking , playing musical instrument",Painted a landscape with vibrant colors,Received MVP (Most Valuable Player) award,Quickly adapts to new gaming mechanics,Used creative problem-solving to overcome writer's block,Excelled in Ceramics and Geography classes,Excelled in Art classes,Gaming,painting
11,"Writing, Dancing, Photography",Knitted a sweater for charity fundraiser,Featured in a pottery exhibition at a local gallery,Has an eye for composition and lighting,Solved a design problem by incorporating artistic elements,Excelled in Ceramics and Geography classes,Excelled in Art classes,writing,baking
13,"Pottery, Cooking, Traveling",Choreographed a dance routine for a school talent show,Received applause for creativity and coordination,Painting comes naturally to me,Solved a performance hiccup by improvising on stage,,Participating in gaming competitions with friends,"Cooking, Gaming",painting
1,"Graphic Designing, Cooking, Playing Guitar",Published a collection of short stories,Featured in a pottery exhibition at a local gallery,Dancing feels effortless and joyful,Used creative problem-solving to overcome writer's block,Excelled in Art and History classes,Finds experimenting with new baking recipes exciting,knitting,Dancing
9,"Cooking, Gaming, Writing",Designed an app interface with a user-friendly design,Featured in a pottery exhibition at a local gallery,Has an eye for composition and lighting,Used design thinking to improve website navigation,Excelled in Design and Music classes,Finds cooking to be a creative outlet,Exploring new painting techniques and styles,Dancing
22,"Cooking, Gaming, Writing",Created a set of handcrafted ceramic mugs,Featured in a pottery exhibition at a local gallery,Finds breaking down complex problems into manageable tasks easy,Used creative problem-solving to capture a difficult shot,Excelled in Ceramics and Geography classes,Finds designing album covers for bands inspiring,"Programming, Writing",Programming
11,"Baking, Painting, Yoga,",Baked a multi-tiered wedding cake from scratch,Received recognition from the project maintainers,Finds decorating cakes with intricate designs effortless,Solved a design problem by incorporating artistic elements,Enjoyed Home Economics and Art classes the most,Finds pottery workshops with fellow artists stimulating,Dancing,Dancing
13,"Photography, Hiking, Playing Piano",Baked a multi-tiered wedding cake from scratch,Featured in a pottery exhibition at a local gallery,Has an eye for composition and lighting,Used problem-solving to fix a pottery firing issue,Excelled in English and Dance classes,Finds cooking to be a creative outlet,baking,Dancing
22,"Programming, Writing, Hiking",Captured breathtaking landscapes during a hiking trip,Received recognition from the project maintainers,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,"Programming, Writing",pottery
14,"Gaming, Reading",Designed an app interface with a user-friendly design,Received accolades for clean and modern design styleDesign and Music classes,Has an eye for composition and lighting,Solved a performance hiccup by improvising on stage,Excelled in Art and History classes,Finds cooking to be a creative outlet,photography,baking
10,"Programming, Writing, Hiking",Published a collection of short stories,Received accolades for clean and modern design styleDesign and Music classes,Painting comes naturally to me,Solved a cooking disaster by salvaging the meal creatively,Excelled in Culinary Arts and Creative Writing classes,Finds knitting while listening to audiobooks relaxing,Dancing,Gaming
6,"Programming, Writing, Hiking",Created a set of handcrafted ceramic mugs,Won a local baking competition,Finds decorating cakes with intricate designs effortless,Solved a cooking disaster by salvaging the meal creatively,Enjoyed Home Economics and Art classes the most,Finds designing album covers for bands inspiring,Dancing,writing
22,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Received recognition for innovative cooking techniques,Finds breaking down complex problems into manageable tasks easy,Used creative problem-solving to overcome writer's block,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,"Programming, Writing",Programming
22,"Pottery, Cooking, Traveling",Baked a multi-tiered wedding cake from scratch,Received MVP (Most Valuable Player) award,Dancing feels effortless and joyful,Solved a knitting pattern challenge by creating a customized design,Excelled in Ceramics and Geography classes,Finds sculpting outdoors surrounded by nature inspiring,"Programming, Writing",Cooking
7,"Cooking, Gaming, Writing",Created a set of handcrafted ceramic mugs,Featured in a pottery exhibition at a local gallery,Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to overcome writer's block,,Finds experimenting with new baking recipes exciting,Dancing,painting
10,"Sculpting, Gardening, Playing Guitar",Contributed code to an open-source project used by thousands,Featured in a pottery exhibition at a local gallery,Can easily create vector graphics from scratch,Solved a performance hiccup by improvising on stage,Excelled in Art and History classes,Finds writing in a cozy cafe with ambient noise inspiring,sculpting,Dancing
12,"Sculpting, Gardening, Playing Guitar",Contributed code to an open-source project used by thousands,Received accolades for clean and modern design styleDesign and Music classes,Finds knitting stitch patterns intuitive,Used creative problem-solving to overcome writer's block,Excelled in Art and History classes,Finds designing album covers for bands inspiring,Dancing,knitting
6,"Dancing, Cooking, Playing Soccer",Created a set of handcrafted ceramic mugs,Received recognition for realistic sculpting style,Dancing feels effortless and joyful,Used design thinking to improve website navigation,,Finds pottery workshops with fellow artists stimulating,knitting,sculpting
8,"Programming, Writing, Hiking",Published a collection of short stories,Received accolades for clean and modern design styleDesign and Music classes,Has a good sense of timing when cooking multiple dishes simultaneously,Used creative problem-solving to overcome writer's block,,Finds knitting while listening to audiobooks relaxing,baking,Graphic Designing
9,"Sculpting, Gardening, Playing Guitar",Choreographed a dance routine for a school talent show,Received recognition for realistic sculpting style,Finds crafting compelling narratives effortless,Solved a performance hiccup by improvising on stage,Excelled in Design and Music classes,Finds writing in a cozy cafe with ambient noise inspiring,Gaming,baking
14,"Programming, Writing, Hiking",Captured breathtaking landscapes during a hiking trip,Received applause for creativity and coordination,Has a natural talent for shaping clay,Solved a critical bug with minimal downtime,Excelled in Culinary Arts and Creative Writing classes,Finds experimenting with new baking recipes exciting,,Graphic Designing
1,"Painting,cooking , playing musical instrument",Painted a landscape with vibrant colors,Best Artist of the Year,Quickly adapts to new gaming mechanics,Solved a design problem by incorporating artistic elements,Excelled in Computer Science classes,Finds writing in a cozy cafe with ambient noise inspiring,Exploring new painting techniques and styles,baking
10,"Pottery, Cooking, Traveling",Choreographed a dance routine for a school talent show,Received recognition for realistic sculpting style,Painting comes naturally to me,Solved a difficult level puzzle by devising a unique strategy,,Finds pottery workshops with fellow artists stimulating,photography,Dancing
4,"Gaming, Reading",Won first place in a regional eSports tournament,Received recognition from the project maintainers,Finds crafting compelling narratives effortless,Solved a difficult level puzzle by devising a unique strategy,Excelled in Ceramics and Geography classes,Participating in gaming competitions with friends,Gaming,Gaming
10,"Painting,cooking , playing musical instrument",Won first place in a regional eSports tournament,Received MVP (Most Valuable Player) award,Painting comes naturally to me,Used design thinking to improve website navigation,Excelled in Design and Music classes,Finds dancing to favorite music uplifting,Exploring new painting techniques and styles,Dancing
1,"Painting,cooking , playing musical instrument",Won first place in a regional eSports tournament,Received MVP (Most Valuable Player) award,Painting comes naturally to me,Solved a design problem by incorporating artistic elements,,Finds photography during golden hour exhilarating,Exploring new painting techniques and styles,baking
7,"Sculpting, Gardening, Playing Guitar",Published a collection of short stories,Featured in a pottery exhibition at a local gallery,Finds knitting stitch patterns intuitive,Used creative problem-solving to overcome writer's block,Enjoyed Home Economics and Art classes the most,Finds pottery workshops with fellow artists stimulating,pottery,knitting
10,"Painting,cooking , playing musical instrument",Captured breathtaking landscapes during a hiking trip,Received recognition for realistic sculpting style,Finds breaking down complex problems into manageable tasks easy,Solved a performance hiccup by improvising on stage,,Finds writing in a cozy cafe with ambient noise inspiring,,sculpting
22,"Dancing, Cooking, Playing Soccer",Created a set of handcrafted ceramic mugs,Received recognition from the project maintainers,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in Design and Music classes,Experimenting with machine learning algorithms,"Cooking, Gaming",Dancing
22,"Dancing, Cooking, Playing Soccer",Painted a landscape with vibrant colors,Received MVP (Most Valuable Player) award,Quickly adapts to new gaming mechanics,Solved a design problem by incorporating artistic elements,,Finds writing in a cozy cafe with ambient noise inspiring,Gaming,writing
1,"Painting,cooking , playing musical instrument",Painted a landscape with vibrant colors,Received accolades for clean and modern design styleDesign and Music classes,Finds decorating cakes with intricate designs effortless,Used creative problem-solving to overcome writer's block,Excelled in Art and History classes,Excelled in Art classes,knitting,Gaming
22,"Sculpting, Gardening, Playing Guitar",Choreographed a dance routine for a school talent show,Received accolades for photography portfolio,Dancing feels effortless and joyful,Used creative problem-solving to overcome writer's block,Excelled in Textile Arts classes,Finds experimenting with new baking recipes exciting,"Cooking, Gaming",baking
12,"Pottery, Cooking, Traveling",Created a set of handcrafted ceramic mugs,Featured in a pottery exhibition at a local gallery,Dancing feels effortless and joyful,Used creative problem-solving to capture a difficult shot,Excelled in Photography and Music classes,Experimenting with machine learning algorithms,Dancing,Dancing
2,"Graphic Designing, Cooking, Playing Guitar",Published a collection of short stories,Received recognition for realistic sculpting style,Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to overcome writer's block,Excelled in Computer Science and English classes,Finds photography during golden hour exhilarating,knitting,Programming
8,"Sculpting, Gardening, Playing Guitar",Baked a multi-tiered wedding cake from scratch,Received recognition for realistic sculpting style,Finds knitting stitch patterns intuitive,Used design thinking to improve website navigation,Excelled in Ceramics and Geography classes,Finds writing in a cozy cafe with ambient noise inspiring,writing,Gaming
4,"Graphic Designing, Cooking, Playing Guitar",Published a collection of short stories,"Received ""Knitter of the Year"" Award",Has an eye for composition and lighting,Used design thinking to improve website navigation,Excelled in Ceramics and Geography classes,Finds knitting while listening to audiobooks relaxing,knitting,Graphic Designing
10,"Programming, Writing, Hiking",Baked a multi-tiered wedding cake from scratch,Won a literary award for storytelling,Can easily create vector graphics from scratch,Used design thinking to improve website navigation,Excelled in Culinary Arts and Creative Writing classes,Finds sculpting outdoors surrounded by nature inspiring,Dancing,baking
11,"Dancing, Cooking, Playing Soccer",Sculpted a lifelike bust of a historical figure,Received accolades for clean and modern design styleDesign and Music classes,Dancing feels effortless and joyful,Solved a cooking disaster by salvaging the meal creatively,Excelled in English and Dance classes,Excelled in Art classes,Exploring new painting techniques and styles,sculpting
1,"Gaming, Reading",Painted a landscape with vibrant colors,Received accolades for clean and modern design styleDesign and Music classes,Quickly adapts to new gaming mechanics,Solved a difficult level puzzle by devising a unique strategy,,Participating in gaming competitions with friends,Exploring new painting techniques and styles,Gaming
22,"Programming, Writing, Hiking",Experimented with fusion cuisine recipes,Received accolades for photography portfolio,Has an eye for composition and lighting,Solved a difficult level puzzle by devising a unique strategy,,Experimenting with machine learning algorithms,"Programming, Writing",painting
14,"Dancing, Cooking, Playing Soccer",Captured breathtaking landscapes during a hiking trip,Won a local baking competition,Finds breaking down complex problems into manageable tasks easy,Used design thinking to improve website navigation,Excelled in Computer Science and English classes,Finds knitting while listening to audiobooks relaxing,knitting,Graphic Designing
15,"Sculpting, Gardening, Playing Guitar",Published a collection of short stories,Received recognition from the project maintainers,Finds knitting stitch patterns intuitive,Used creative problem-solving to capture a difficult shot,Excelled in English and Dance classes,Finds writing in a cozy cafe with ambient noise inspiring,knitting,sculpting
1,"Painting,cooking , playing musical instrument",Painted a landscape with vibrant colors,Received MVP (Most Valuable Player) award,Dancing feels effortless and joyful,Solved a difficult level puzzle by devising a unique strategy,,Excelled in Art classes,Exploring new painting techniques and styles,Gaming
11,"Dancing, Cooking, Playing Soccer",Knitted a sweater for charity fundraiser,Received applause for creativity and coordination,Has a good sense of timing when cooking multiple dishes simultaneously,Used creative problem-solving to salvage a baking mishap,Excelled in Textile Arts classes,Finds writing in a cozy cafe with ambient noise inspiring,"Programming, Writing",Dancing
10,"Gaming, Reading",Won first place in a regional eSports tournament,"Received ""Knitter of the Year"" Award",Painting comes naturally to me,Solved a difficult level puzzle by devising a unique strategy,Excelled in Computer Science and English classes,Participating in gaming competitions with friends,Exploring new painting techniques and styles,painting
10,"Baking, Painting, Yoga,",Painted a landscape with vibrant colors,Received MVP (Most Valuable Player) award,Painting comes naturally to me,Used creative problem-solving to capture a difficult shot,Excelled in Design and Music classes,Excelled in Art classes,knitting,sculpting
7,"Cooking, Gaming, Writing",Contributed code to an open-source project used by thousands,Received accolades for photography portfolio,Can easily create vector graphics from scratch,Used problem-solving to fix a pottery firing issue,Excelled in Design and Music classes,Finds knitting while listening to audiobooks relaxing,"Programming, Writing",writing
9,"Cooking, Gaming, Writing",Experimented with fusion cuisine recipes,Won a local baking competition,Has an eye for composition and lighting,Solved a difficult level puzzle by devising a unique strategy,Excelled in Ceramics and Geography classes,Participating in gaming competitions with friends,photography,Gaming
6,"Dancing, Cooking, Playing Soccer",Contributed code to an open-source project used by thousands,Received accolades for clean and modern design styleDesign and Music classes,Finds breaking down complex problems into manageable tasks easy,Used creative problem-solving to overcome writer's block,Excelled in Ceramics and Geography classes,Finds experimenting with new baking recipes exciting,"Cooking, Gaming",knitting
10,"Gaming, Reading",Knitted a sweater for charity fundraiser,Won a literary award for storytelling,Has a good sense of timing when cooking multiple dishes simultaneously,Used creative problem-solving to overcome writer's block,,Finds knitting while listening to audiobooks relaxing,knitting,painting
1,"Dancing, Cooking, Playing Soccer",Won first place in a regional eSports tournament,Received MVP (Most Valuable Player) award,Finds knitting stitch patterns intuitive,Solved a difficult level puzzle by devising a unique strategy,Excelled in Computer Science classes,Participating in gaming competitions with friends,Exploring new painting techniques and styles,Gaming
17,"Cooking, Gaming, Writing",Painted a landscape with vibrant colors,Received accolades for clean and modern design styleDesign and Music classes,Painting comes naturally to me,Used innovative techniques to repair a damaged sculpture,Excelled in Computer Science classes,Excelled in Art classes,Gaming,painting
6,"Graphic Designing, Cooking, Playing Guitar",Choreographed a dance routine for a school talent show,Received accolades for clean and modern design styleDesign and Music classes,Finds throwing clay on a pottery wheel relaxing,Used design thinking to improve website navigation,,Finds writing in a cozy cafe with ambient noise inspiring,"Programming, Writing",writing
22,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Featured in a pottery exhibition at a local gallery,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in Computer Science and English classes,Participating in gaming competitions with friends,"Programming, Writing",Dancing
1,"Gaming, Reading",Designed an app interface with a user-friendly design,Best Artist of the Year,Finds breaking down complex problems into manageable tasks easy,Solved a design problem by incorporating artistic elements,,Finds knitting while listening to audiobooks relaxing,"Cooking, Gaming",Gaming
9,"Pottery, Cooking, Traveling",Designed an app interface with a user-friendly design,Received applause for creativity and coordination,Finds breaking down complex problems into manageable tasks easy,Used creative problem-solving to salvage a baking mishap,Excelled in Ceramics and Geography classes,Finds sculpting outdoors surrounded by nature inspiring,knitting,painting
9,"Writing, Dancing, Photography",Painted a landscape with vibrant colors,Received recognition for realistic sculpting style,Has a natural talent for shaping clay,Used creative problem-solving to overcome writer's block,Excelled in Textile Arts classes,Experimenting with machine learning algorithms,Dancing,painting
13,"Writing, Dancing, Photography",Created a set of handcrafted ceramic mugs,Featured in a pottery exhibition at a local gallery,Has a good sense of timing when cooking multiple dishes simultaneously,Used innovative techniques to repair a damaged sculpture,Excelled in Photography and Music classes,Finds designing album covers for bands inspiring,"Cooking, Gaming",knitting
8,"Gaming, Reading",Won first place in a regional eSports tournament,Received MVP (Most Valuable Player) award,Painting comes naturally to me,Solved a difficult level puzzle by devising a unique strategy,Enjoyed Home Economics and Art classes the most,Excelled in Art classes,Exploring new painting techniques and styles,pottery
6,"Pottery, Cooking, Traveling",Published a collection of short stories,Best Artist of the Year,Can easily create vector graphics from scratch,Used innovative techniques to repair a damaged sculpture,Excelled in Art and History classes,Finds sculpting outdoors surrounded by nature inspiring,writing,knitting
5,"Sculpting, Gardening, Playing Guitar",Captured breathtaking landscapes during a hiking trip,Received applause for creativity and coordination,Finds decorating cakes with intricate designs effortless,Used creative problem-solving to overcome writer's block,,Excelled in Art classes,sculpting,knitting
14,"Painting,cooking , playing musical instrument",Created a set of handcrafted ceramic mugs,Received applause for creativity and coordination,Can easily create vector graphics from scratch,Solved a cooking disaster by salvaging the meal creatively,Excelled in English and Dance classes,Finds writing in a cozy cafe with ambient noise inspiring,Exploring new painting techniques and styles,sculpting
22,"Knitting, Reading, Hiking",Contributed code to an open-source project used by thousands,Featured in a pottery exhibition at a local gallery,Has an eye for composition and lighting,Used design thinking to improve website navigation,Enjoyed Home Economics and Art classes the most,Finds sculpting outdoors surrounded by nature inspiring,"Programming, Writing",photography
8,"Sculpting, Gardening, Playing Guitar",Painted a landscape with vibrant colors,Received recognition for realistic sculpting style,Finds crafting compelling narratives effortless,Used creative problem-solving to salvage a baking mishap,Excelled in Ceramics and Geography classes,Finds photography during golden hour exhilarating,baking,baking
9,"Gaming, Reading",Contributed code to an open-source project used by thousands,Received recognition from the project maintainers,Finds knitting stitch patterns intuitive,Solved a cooking disaster by salvaging the meal creatively,Excelled in Computer Science and English classes,Finds pottery workshops with fellow artists stimulating,Gaming,baking
13,"Baking, Painting, Yoga,",Sculpted a lifelike bust of a historical figure,Received accolades for clean and modern design styleDesign and Music classes,Finds breaking down complex problems into manageable tasks easy,Solved a difficult level puzzle by devising a unique strategy,Excelled in Ceramics and Geography classes,Excelled in Art classes,Exploring new painting techniques and styles,pottery
9,"Painting,cooking , playing musical instrument",Won first place in a regional eSports tournament,Won a local baking competition,Finds knitting stitch patterns intuitive,Used creative problem-solving to salvage a baking mishap,Excelled in English and Dance classes,Excelled in Art classes,pottery,painting
11,"Programming, Writing, Hiking",Published a collection of short stories,Featured in a pottery exhibition at a local gallery,Has an eye for composition and lighting,Used creative problem-solving to capture a difficult shot,Excelled in Design and Music classes,Experimenting with machine learning algorithms,Gaming,Dancing
10,"Painting,cooking , playing musical instrument",Designed an app interface with a user-friendly design,Best Artist of the Year,Finds knitting stitch patterns intuitive,Solved a cooking disaster by salvaging the meal creatively,Excelled in Art and History classes,Finds sculpting outdoors surrounded by nature inspiring,knitting,Gaming
11,"Gaming, Reading",Baked a multi-tiered wedding cake from scratch,Received accolades for clean and modern design styleDesign and Music classes,Can easily create vector graphics from scratch,Used creative problem-solving to overcome writer's block,Enjoyed Home Economics and Art classes the most,Finds sculpting outdoors surrounded by nature inspiring,pottery,Graphic Designing
9,"Dancing, Cooking, Playing Soccer",Created a set of handcrafted ceramic mugs,Best Artist of the Year,Finds crafting compelling narratives effortless,Used creative problem-solving to capture a difficult shot,Excelled in Culinary Arts and Creative Writing classes,Finds dancing to favorite music uplifting,,pottery
22,"Gaming, Reading",Won first place in a regional eSports tournament,Best Artist of the Year,Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to overcome writer's block,Excelled in Culinary Arts and Creative Writing classes,Experimenting with machine learning algorithms,"Programming, Writing",photography
11,"Painting,cooking , playing musical instrument",Painted a landscape with vibrant colors,Received MVP (Most Valuable Player) award,Painting comes naturally to me,Used creative problem-solving to overcome writer's block,,Finds sculpting outdoors surrounded by nature inspiring,Gaming,Dancing
22,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Received recognition for innovative cooking techniques,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,"Programming, Writing",baking
22,"Writing, Dancing, Photography",Published a collection of short stories,Won a literary award for storytelling,Finds decorating cakes with intricate designs effortless,Used problem-solving to fix a pottery firing issue,Excelled in Design and Music classes,Finds pottery workshops with fellow artists stimulating,Dancing,knitting
8,"Dancing, Cooking, Playing Soccer",Choreographed a dance routine for a school talent show,Best Artist of the Year,Can easily create vector graphics from scratch,Solved a cooking disaster by salvaging the meal creatively,Excelled in Design and Music classes,Finds dancing to favorite music uplifting,Dancing,Graphic Designing
12,"Gaming, Reading",Captured breathtaking landscapes during a hiking trip,Received accolades for clean and modern design styleDesign and Music classes,Has an eye for composition and lighting,Used creative problem-solving to overcome writer's block,Excelled in Design and Music classes,Finds designing album covers for bands inspiring,"Programming, Writing",pottery
11,"Programming, Writing, Hiking",Designed an app interface with a user-friendly design,Won a literary award for storytelling,Finds decorating cakes with intricate designs effortless,Solved a performance hiccup by improvising on stage,Excelled in Dance and Physical Education classes,Finds writing in a cozy cafe with ambient noise inspiring,"Programming, Writing",photography
7,"Cooking, Gaming, Writing",Captured breathtaking landscapes during a hiking trip,Won a literary award for storytelling,Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to overcome writer's block,Excelled in Design and Music classes,Finds experimenting with new baking recipes exciting,"Cooking, Gaming",knitting
9,"Writing, Dancing, Photography",Created a set of handcrafted ceramic mugs,Received applause for creativity and coordination,Dancing feels effortless and joyful,Used creative problem-solving to overcome writer's block,Excelled in Ceramics and Geography classes,Finds knitting while listening to audiobooks relaxing,writing,knitting
11,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Received recognition from the project maintainers,Finds breaking down complex problems into manageable tasks easy,Used creative problem-solving to capture a difficult shot,Excelled in Computer Science and English classes,Finds sculpting outdoors surrounded by nature inspiring,"Programming, Writing",photography
15,"Dancing, Cooking, Playing Soccer",Published a collection of short stories,Featured in a pottery exhibition at a local gallery,Finds knitting stitch patterns intuitive,Used innovative techniques to repair a damaged sculpture,Excelled in Design and Music classes,Experimenting with machine learning algorithms,writing,baking
11,"Gaming, Reading",Baked a multi-tiered wedding cake from scratch,Received applause for creativity and coordination,Finds knitting stitch patterns intuitive,Solved a performance hiccup by improvising on stage,,Participating in gaming competitions with friends,"Cooking, Gaming",baking
10,"Sculpting, Gardening, Playing Guitar",Published a collection of short stories,Received MVP (Most Valuable Player) award,Painting comes naturally to me,Solved a performance hiccup by improvising on stage,Excelled in Design and Music classes,Finds designing album covers for bands inspiring,writing,sculpting
22,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Received recognition from the project maintainers,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,"Programming, Writing",sculpting
22,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Featured in a pottery exhibition at a local gallery,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in Computer Science and English classes,Finds cooking to be a creative outlet,Dancing,Programming
22,"Gaming, Reading",Painted a landscape with vibrant colors,Received accolades for clean and modern design styleDesign and Music classes,Quickly adapts to new gaming mechanics,Solved a difficult level puzzle by devising a unique strategy,Excelled in Ceramics and Geography classes,Excelled in Art classes,Exploring new painting techniques and styles,painting
9,"Gaming, Reading",Painted a landscape with vibrant colors,Received MVP (Most Valuable Player) award,Has an eye for composition and lighting,Solved a difficult level puzzle by devising a unique strategy,,Finds writing in a cozy cafe with ambient noise inspiring,Exploring new painting techniques and styles,Gaming
22,"Programming, Writing, Hiking",Published a collection of short stories,Received recognition for realistic sculpting style,Finds breaking down complex problems into manageable tasks easy,Used creative problem-solving to overcome writer's block,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,Dancing,Programming
8,"Graphic Designing, Cooking, Playing Guitar",Contributed code to an open-source project used by thousands,Received accolades for clean and modern design styleDesign and Music classes,Dancing feels effortless and joyful,Used design thinking to improve website navigation,Excelled in English and Dance classes,Finds dancing to favorite music uplifting,writing,photography
15,"Dancing, Cooking, Playing Soccer",Captured breathtaking landscapes during a hiking trip,"Received ""Knitter of the Year"" Award",Finds breaking down complex problems into manageable tasks easy,Solved a performance hiccup by improvising on stage,Excelled in Computer Science and English classes,Finds writing in a cozy cafe with ambient noise inspiring,writing,Dancing
22,"Writing, Dancing, Photography",Choreographed a dance routine for a school talent show,Won a local baking competition,Finds breaking down complex problems into manageable tasks easy,Used problem-solving to fix a pottery firing issue,Excelled in Computer Science and English classes,Finds designing album covers for bands inspiring,pottery,photography
10,"Photography, Hiking, Playing Piano",Painted a landscape with vibrant colors,Best Artist of the Year,Has a good sense of timing when cooking multiple dishes simultaneously,Used creative problem-solving to overcome writer's block,Excelled in Art and History classes,Finds pottery workshops with fellow artists stimulating,knitting,baking
8,"Baking, Painting, Yoga,",Designed an app interface with a user-friendly design,Received recognition from the project maintainers,Can easily create vector graphics from scratch,Used creative problem-solving to overcome writer's block,Excelled in Textile Arts classes,Experimenting with machine learning algorithms,Exploring new painting techniques and styles,painting
21,"Knitting, Reading, Hiking",Captured breathtaking landscapes during a hiking trip,Received recognition for realistic sculpting style,Finds knitting stitch patterns intuitive,Used creative problem-solving to overcome writer's block,Excelled in English and Dance classes,Finds dancing to favorite music uplifting,"Programming, Writing",photography
10,"Dancing, Cooking, Playing Soccer",Choreographed a dance routine for a school talent show,"Received ""Knitter of the Year"" Award",Painting comes naturally to me,Solved a difficult level puzzle by devising a unique strategy,Excelled in Ceramics and Geography classes,Finds photography during golden hour exhilarating,Gaming,Programming
13,"Pottery, Cooking, Traveling",Designed an app interface with a user-friendly design,Featured in a pottery exhibition at a local gallery,Dancing feels effortless and joyful,Solved a critical bug with minimal downtime,Excelled in Ceramics and Geography classes,Finds designing album covers for bands inspiring,Dancing,Cooking
11,"Programming, Writing, Hiking",Choreographed a dance routine for a school talent show,Received applause for creativity and coordination,Finds knitting stitch patterns intuitive,Solved a cooking disaster by salvaging the meal creatively,Excelled in Dance and Physical Education classes,Participating in gaming competitions with friends,knitting,writing
10,"Dancing, Cooking, Playing Soccer",Baked a multi-tiered wedding cake from scratch,Received recognition for realistic sculpting style,Finds crafting compelling narratives effortless,Used creative problem-solving to salvage a baking mishap,Excelled in Art and History classes,Finds experimenting with new baking recipes exciting,sculpting,Cooking
9,"Sculpting, Gardening, Playing Guitar",Published a collection of short stories,Won a literary award for storytelling,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in Computer Science and English classes,Participating in gaming competitions with friends,"Programming, Writing",pottery
13,"Graphic Designing, Cooking, Playing Guitar",Choreographed a dance routine for a school talent show,Won a local baking competition,Finds breaking down complex problems into manageable tasks easy,Used creative problem-solving to overcome writer's block,Enjoyed Home Economics and Art classes the most,Finds writing in a cozy cafe with ambient noise inspiring,photography,Dancing
22,"Gaming, Reading",Contributed code to an open-source project used by thousands,Won a local baking competition,Has a natural talent for shaping clay,Used creative problem-solving to salvage a baking mishap,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,"Programming, Writing",sculpting
17,"Gaming, Reading",Published a collection of short stories,"Received ""Knitter of the Year"" Award",Finds breaking down complex problems into manageable tasks easy,Used creative problem-solving to overcome writer's block,Excelled in Computer Science classes,Finds knitting while listening to audiobooks relaxing,Exploring new painting techniques and styles,writing
22,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Received recognition from the project maintainers,Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to overcome writer's block,Excelled in Computer Science and English classes,Finds experimenting with new baking recipes exciting,knitting,baking
8,"Gaming, Reading",Won first place in a regional eSports tournament,"Received ""Knitter of the Year"" Award",Can easily create vector graphics from scratch,Used design thinking to improve website navigation,Excelled in Dance and Physical Education classes,Finds knitting while listening to audiobooks relaxing,Exploring new painting techniques and styles,baking
7,"Sculpting, Gardening, Playing Guitar",Created a set of handcrafted ceramic mugs,Received applause for creativity and coordination,Finds throwing clay on a pottery wheel relaxing,Solved a cooking disaster by salvaging the meal creatively,Enjoyed Home Economics and Art classes the most,Finds cooking to be a creative outlet,Gaming,sculpting
22,"Programming, Writing, Hiking",Published a collection of short stories,Received recognition from the project maintainers,Finds breaking down complex problems into manageable tasks easy,Solved a performance hiccup by improvising on stage,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,"Programming, Writing",sculpting
22,"Programming, Writing, Hiking",Captured breathtaking landscapes during a hiking trip,Received recognition from the project maintainers,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Enjoyed Home Economics and Art classes the most,Experimenting with machine learning algorithms,"Programming, Writing",baking
10,"Pottery, Cooking, Traveling",Sculpted a lifelike bust of a historical figure,Featured in a pottery exhibition at a local gallery,Dancing feels effortless and joyful,Solved a performance hiccup by improvising on stage,,Finds sculpting outdoors surrounded by nature inspiring,Dancing,Graphic Designing
